label,text
0,حسن. . لم يتم توفير بطانية تم طلبها على مدار أربعة أيام
1,هادئ . موقعه قريب من طريق المسافرين للسعوديه براخدمتهم جيده والسعر مناسب.
0,ثقيله. ثرثره كثيره. شخصيات كثيره. حوارات كثيره. تداخلات كثيره. صفحات كثيره. يكفي قراءه عشر صفحات منها لأعرف ثقلها. لم أوفق مع أي من رواياتها
0,وحشة أوي :
0,مريحة نوعا ما . الاهتمام من قبل العاملين والافطار اليومي. التنظيف اليومي غير جيد والمصاعد الكهربائية اثنان صغيرة واحدها معطل
0,غالي مقارنة بالخدمة المقدمة . الموقع جميل. تفاوت السعر في الصعود والنزول بدون اختلاف في الإقبال على المنتجعالرأي فأي يقطع التواصل مع الاستقبال صعب جدا
0,مخيب للأمل. . المنتجع لا يرقى الى اسم منتجع من البداية لايمكن الدفع الا كاش حيث لايمكن الدفع بالبطاقة الائتمانية او بطاقة الصراف الآلي الشاليه من الداخلية معدوم النظافة ألما راتب والمخادات مترسخة المطبخ مليء بالصراصير الحمام به روائح مجاري الشاطئ صغير جدا الدبابات البحرية تخرج من مكان السباحة مما يعرض من يسبح للخطر ارضية الشاطئ غير مناسبة للسباحة مسبح الاطفال الزحلقية الخاصة به متأكلة من الصدأ وقد تجرح الاطفال من ناحية السلم
0,مش عارف العيب فيا ولا فى احمد فؤاد نجم ولا فى الشعر العامى ولا فى انى مخنوق من مواقفه السياسيه وسلوكه الشخصى ولا فى انى قرأت اعماله الكامله بعد ديوان احمد مطر مباشرة. مش عارف بالظبط بس ببساطه معجبنيش
0,مقبول. الهدوء . الأسعار مبالغ فيها جدا
0,مشكلة الكتابة لليافعين أنها مهمة صعبة ، ربما تكون أصعب من الكتابة للبالغين ، عليك ان تحترم ذكاء اليافع ولكن عليك ايضا ان لا تشعره بأنه غبي لأنه ليس بمستوى ذكائك ... وهذه الرواية ، من الروايات التي تتميز بنمط : انكم أغبياء لا تعرفون شيئا عن برايل و طه حسين و حياة الضرير ... هل يعقل ان لا يعرف شبابنا طه حسين او برايل ؟. كما هل من المعقول ان نتعاطف مع بطل لا ندرك منه شيئا الا انه مكفوف و متفوق في العربية وفقط ؟ لا صراع ؟ لا نزاعات ؟ لا شيء؟ نجاحات ونجاحات والمزيد منها ..والتكرار الكثير منه في الحقيقة ... ..
1,ببساطه يوسف زيدان يجسد معنى اليساطه و المتعه و الروعه فى كتاباته فلم احس قط و لو للحظه بملل من قراءة النبطى رغم وجود بعض الاحداث الممله فى مضمونها و لكن اختيارات و انتقاء الكاتب للكلمات و العبيرات كان فى غاية الروعه و اليساطه.. ماريه
0,بدأت بداية جميلة جدا وتحمست جدا مع القصة.. لكن قل مستوى حماسي بعد ان انتصفت.. بدأ الكاتب يخرج عن محور القصة ويطيل في ذلك أحيانا طويلا بالنسبة للقصة . أحببت شخصيات القصة الجانبية وكان بودي لو أنه تعمق فيها بدلا من التركيز على الشخصية الاساسية فقط.. بالعامية: الرواية عبارة عن سرد لمواقف في حياة شخص، ومافيها قصة أساسية تتحمس معها.. يعني اذا ماحبيت الشخصية الاساسية حماسك مع القصة حيكون اقل.. لا تقرأها وانت توك قاري رواية حماس، لأنها بتطلع هادية ومملة نوعا ما.. عموما قصة خفيفة، حبيت معظم شخصياتها وقراءتها سهلة وسريعة حلوة جدا للي مو متعود يقرأ .
0,أول عمل أقوم بقرائته لمحمد وأحييه عليه ، أحببت الرواية واسلوب سردها رغم الملل الذي شعرت به في بعض أجزائها
0,مقبول. تعامل المةظفين. الغرف ضغيره لم يتم توفير الغرفة المطلوبة بسبب زحام الفندق
0,السعر مبالغ فيه . قربه من الحرم. النظافة بعض الادوار سيئة وازعاج المواقف مافيه سعره غالي جدا
0,مرهق وكئيب جدا ..
1,استثنائي. كل شيء جميل ومريح وراقي والطاقم جدا محترم. سعر الكوفي والح مرتفع وايضا الحلويات ليست بالمستوى المتوقع
0,مع احترامي الشديد وإعجابي الكبير بالعلامة مصطفى محمود إلا أن الكتاب تافه للغاية
1,سيتم تكرار الزيارة في مرات قادمة ان شاء الله . قرب من الحرم الهدوء. لم يكن فيه اطلالة على الحرم جودة الافطار تغيرت عن الزيارات السابقة ماء المروش كان فيه ضعف بعض الشي
0,اكتئاب و تضيع وقت
1,رأيت رام الله ذكرتني بأرض نسيتها غفلت عنها الهتني دنيايي و نسيتها بكيت جدا على نسيانها ضياعها فقدانها فلسطين الاراضي المحتله . الكاتب ابدع في نقل احاسيسه في اسلوب منمق جدا.. لحظات ابلاغ امه بموت اخيه كانت لحظات قاسيه جدا ، عباراته و هو يصف حال تشعرك بمدى ضعفه و انهياره لحظة سماعه الخبر.. بعض الاقتباسات :. يقول الكاتب محدثا صاحبه ابو نزار د. حسين مروه عند سياج يفصل بين الاردن و فلسطين عندما تسمع في في الاذاعات و تقرا في الجرائد و المجلات و الكتب و الخطب كلمة الاراضي المحتله سنه بعد سنه و مهرجانا بعد مهرجان و مؤتمر قمه بعد مؤتمر قمه تحسبها وهما في اخر الدنيا تظن ان لا سبيل للوصول اليها بشكل من الاشكال.. هل ترى كم هي قريبه ملموسه موجودة بحق . انني استطيع امساكها بيدي كالمنديل. . لحظة عبوره للجسر الان امر من غربتي الى .. وطنهم ؟ وطني ؟ الضفه و غزه ؟ الاراضي المحتله ؟ المناطق ؟ يهودا و السامره ؟ الحكم الذاتي ؟ اسرائيل ؟ فلسطين ؟. هل في هذا العالم كله بلد واحد يحار الناس في تسميته هكذا ؟ . الغربه لا تكون واحده. انها دائما غربات.. غربات تجتمع على صاحبها و تغلق عليه الدائره. يركض و الدائره تطوقه. عند الوقوع فيها يغترب المرء في اماكنه و عن اماكنه. اقصد في نفس الوقت.. كل الصراعات تفضل الرموز.. القدس الان هي الان قدس اللاهوت.. العالم معني ب وضع القدس بفكرتها و اسطورتها. اما حياتنا في القدس و قدس حياتنا فلا تعنيه. ان قدس السماء ستحيا دائما اما حياتنا فيها فمهدده بالزوال.. عندما كنا نحن فلسطين، لم نجفل من اليهودي. لم نكرهه ولم نعاديه. كرهته اوروبا العصور الوسطى، و لم نكرهه نحن.. كرهه فرديناند و ايزابيللا ، ولم نكرهه نحن. كرهه ادولف هيتلر ، و لم نكرهه نحن. عندما طلب مكاننا كله و نفانا منه ، اخرجنا و اخرج نفسه من قانون التساوي ، صار عدوا. و صار قويا. صرنا غرباء و ضعفاء.. اخذ المكان بقوة المقدس و بقداسة القوه. بالخيال و بالجغرافيا.. السعيد ، هو السعيد ليلا ،. و الشقي ، هو الشقي ليلا ،. اما النهار ،. فيشغل اهله . مالذي يسلب الروح الوانها ؟. مالذي ، غير قصف الغزاة ، اصاب الجسد ؟
1,رواية نفسية عن شاب يتعرض في طفولته لمواقف تجعله يصاب بالوسواس القهري بأن هناك وحشا أسفل فراشه، وأنه يجب أن يرمق أسفل الفراش طوال الوقت، فيقضي ليله نائما في وضعية الخفاش على حافة فراشه، كما أن هناك غرفة مغلقة في بيته، يشعر دائما أنه لو فتحها فسيموت أحد أصدقائه.. الكاتب أسلوبه ناضج، والرواية جيدة يختلط فيها الواقع بالهلاوس، وفي كثير من الأحيان لا ندري إن كان المشهد حقيقيا أم يدور في ذهن البطل، والاستطراد فيما يمليه الوسواس القهري على البطل من تصرفات يدخلنا في عقل المصاب بالوسواس القهري في تجربة قد لا تتكرر.
0,اللهم كما عصمتنا من دمائهم. اعصمنا من الخوض فيهم. فانهم افضوا الى ما قدموا. اللهم اغفر لنا و لهم وللمسلمين اجمعين
1,إقامة مريحة وممتعة تستحق الإعادة ومكان مميز . المكان مميز جدا وطاقم العمل متعاونيين جدا وموظفين الاستقبال في منتهي التعاون والاخلاق تجربة مميزة.
0,مقبول ازدحام العشر الأواخر برمضان . كيس وليس يطلع قويسللعزاب ع الماشي. مشي حالك
1,ممتاز ويستحق الزيارة . كل شيء. لاشيء
0,ضعيف . لا شي. لايوجد مواقف للسيارات عدم توافر أسره للاطفال الخدمة تعبانه عندما تطلبه شي لا يتوفر
1,جيد. الموقع بشكل عام ممتاز.
0,العادات المعتاده للمجتمع العربى فى اسلوب التربية والكلمات التى يعتادها الأباء دوما وتصيب الاطفال بنوبات الخمول وعدم الرضا واليأس والقهر و و و. هو وصف بسيط لحياة الاسرة العربية
0,هيا مش رعب اوي يعني. كمان المعلومة الوحيدة اللي طلعت بيها من الرواية هيا معني نيكروفيليا غير. ت اوي بالاحداث. كدا مزعلتش ولااتأثر
0,تجربه سيئه . الشاطي فقط. صغر الغرفه وعدم الاهتمام بنظافه دورة المياه مع وجود حشرات بها
1,يستحق العودة . الهدوء والاحترام ومحاولة إرضاء العميل. لا شيء
1,اول مره اكتب ريفيو ع طول بعترض انى مش بعرف انقد او اكتب اى حاجه بس من شده اعجابى بالروايه قولت لازن اكسر القاعده واكتب ريفيو بقى ااقدر ااقول عليها انها من احلى الروايات التاريخه لو هى ممكن تتصنف تحت العنوان دا وبتتكلم عن فتره كتير من الناس متعرفش عنها حاجه. ولا اى تفاصيل غير انها ثوره وترديد كلمه سعد باشا زغلول الشهيره مافيش فايده لكن التفاصيل اللى احمد مراد اتكلم عنها وتناولها بحرفيه وبدقه شديده حوادث تاريخيه ومعلومات وفيره جدا ااقدر ااقول ان الروايه دى تحفه جدا من كل النواحى. اعتراضى الوحيد ع الالفاظ الخارجه ليس الا وعارفه انه فى سياق الروايه وانه بيوصف حال البلد وحال الناس وكلامهم. بس كفايه كدا هو دا اللى ااقدر ااقوله شابو مراد
1,لا أعرف إن كان منصفا تصنيفها كرواية. هي أكثر بكثير.. هو أول عمل أقرأ لكونديرا و بداية وجدته غريبا عجيبا. هو تحليل ربما لأحلام الخلود، الخلود كأثر في الحياة لا خلود الحياة الفعلية، لا إكسير هنا. هنا تحاليل نفسية وتعليلات لخيارات وطرائق شخصيات خيالية و حقيقية تبدأ بحياة الباريسية آنييس و عائلتها الصغيرة ،غوته، فهيمنجواي، والله يعلم من أيضا.... هذا كتاب في سيكولوجية النفس البشرية.. وهكذا مازلت اقرأ وأستزيد، كمان يا كونديرا.
1,كتاب رائع بحجم الالم الذي ينبض في حروفه كم هي جبارة هذه الفتاه المراهقة بكل ما مرت به وكم هو محير سلوك الاباء افكر كثيرا لو كنت مكان والديها ماذا عساي اتصرف ؟ لو كنت استاذة في تلك المدرسة او تلك ما هو الصواب ... الحياة صعبة كتيرا لا تسهل علينا المور فلا يجود الصائب والخطا دائما هنالك تحديات بكل موقف وخسارة بعد كل قرار ليتها حياة سهلة مع تصنيف صواب وخطا حتى يسهل علينا معايشتها
0,حسن. خدمة الغرف كانت جيده رغم ضغوط كثرة النزلاء بهذا الشهر الكريم .كثرة المطاعم ووفرة وجبة الافطار قلصت فترة انتظار الحصول علي طاوله .. حجزت اطلاله جزئيه علي الحرم ولم احظ بها .وخدمة الواي فاي كانت عاطله طوال فترة اقامتنا . فترة اقامتنا ايام تم تنظيف الغرفه وترتيبها مره واحده فقط .
0,كتاب سريع خفيف بسيط. هو شهادة و سرد شخصى من زوج خائن لحياته. مفهوم زوج خائن عندى قبل قراءة الكتاب كان انه زوج كان ملتزم و اتجوز ف اتجه للخيانة بعد ذلك انما بطل تلك القصة منذ نعومة اظفاره و هو خاين لنفسه و لاهله و لسنه و لحبيبته و اخيرا بقا خاين لزوجته الا ذكرها خلال سطور بسيطة فى القصة لدرجة انى مخدتش بالى انه اتجوز و مع ذلك ف تجربته الشخصية مليئة ب النصائح و الدروس الحياتية المفيدة و التى تعلمها بطريقة . التعلم و الخطأ. هو رجل ذو خبرة سيئة و ان كانت مفيدة ....فتجربته تغنى عن ان يجرب المرء بدوره ايضا...
0,بعض الكتب تسبب لك احباط بعد الانتهاء منها وتندم على قرائتها حقيقة ..للاسف هذا ماحدث لي بعد انتهائي منه..والنجمه كانت للعبارات المحدوده الي لامست شئ بداخلي لصدقها
1,أن تؤمن بفكرة بصرف النظر عن صحتها أو خطأها و تعمل من أجلها فهذه هي الحياة دعك من الموت و الخوف من الموت.. خف من حياة غير كافية و ليس من موت مجهول.. لا تخف الرزق لاتخف الانكسارات ف كثرة التحديات تدل على الطريق السليم.. الحكاية هنا تحدثت عن الثورة البلشفية حول حتى بداية الحرب العالمية الأم كانت الدرع الحامي النشط الأم منبع الحكايات في كل الأزمان.. هنا ورد التجسيد الفعلي للإيمان الإخلاص الحب العمل بجد التضحيات من أجل فكرة من أجل حق.. رغم أني اتحفظ على مبادىء البلشفيين فيما يخص الدين و الإله لكن لا شك أنهم أنجزوا و أثبتوا أن الحياة ثورة لا بد أن تعاش و أنها مجازفة بالنفس بالمال بالسعادة بالوقت.. في الوقت الذي ينبغي عليك الاستسلام و الرضوخ مت لكن ليس قبل هذا جاهد في سبيل فكرتك حتى آخر نفس.. ........... أنت لا تستحق الحياة إن كنت تملك قطعة الخبز ولا تملك رغيف الخبز كاملا ............ كم رمتني هذا الجملة لأفكر في كل شيء يدور الآن في العالم القذر و لربما كانت سوريا أول سهم أصاب فكري حينها.. أؤمن أن الزمن يعيد نفسه المواقف ذاتها و الانتهاكات ذاتها و الأحلام أيضا ذاتها باختلاف مؤشر التقويم و مظهر الممثلين لكن الجوهر واحد القضية واحدة في كل الأزمان.
0,الرواية ممتعة من حيث أسلوب السرد و الحكي و مفعمة بالتفاصيل المروية بدقة و بطابع شعبي مسلي. اللغة أيضا خالية من الأخطاء إلي حد كبير عدا بعض الأخطاء المطبعية. أول قرأة لي لخيري شلبي.
0,خدعنا بالعين الفايضة . مساحة الصالة جيده وتوفر الواي فاي للأنترنت. تفاجأت بتعطل جميع المرافق الترفيهية بحجة الصيانة فلا يوجد قوارب ولا بحيرة البط والبحيرة متسخة جدا ذات منظر مقرف وأطرافها متهالك بصراحة انخدعنا بالمكان
1,بالنسبه للقيمه . يحتاج كثافة خدمات. لا يوجد نت المطعم غير متكامل
1,استثنائي. الفطور جميل. لاشئ
1,كانت اقل شوية من ارض زيكولا الجزء الاول بش شابوة لعمرو عبد الحميد
1,جيد جدا. هدووووء المكان يصلح للعوايل. لاشي المكان ممتاز مقابل القيمه
1,الرواية بجد راااائعة جدا فوق الوصف باستثناء اخطاء مطبعية لابد منها غير كده بجد الرواية حلوة و شدتني ليها و انا كنت متأكدة انها هتعجبني لان اعمال حضرتك كلها عجباني اووي و قراتها كلها فارس بلا جواد و مزرعة الدموع و قطة في عرين الاسد و العشق الممنوع و كيغار طبعا .. دمتي لنا مبدعة باعمالك و كتاباتك الجميلة .. و كمان ليا ملاحظتين صغيرين بس الاول اني حسيت ان الطابع الديني في الرواية دي اقل من كل مرة و مع ذلك كان حاضر و خصوصا في وسط الاحداث الاخيرة .. الملاحظة التانية اني اكتشفت اثناء سرد الاحداث انك بتوزني بعض الكلمات و بيبقى فيها قافية محببة كان ليها وقع مميز على اذني و باتمنى ما تحريميناش من الاسلوب الحلو ده في السرد في اعمالك الجاية و منتظرة العمل الجاي بشغف يارب تكتبي حاجة تانية قريب و من نجاح لنجاح ان شاء الله .. احبك في الله : فرح أحمد
0,من الممكن اكتمال الصورة بعد قراءة الحسين شهيدا ، الكتاب القادم
0,تأكدوا . النظافه رائعة وقربه من الحرم. طلبت سرير مزدوج وتفاجأت بأنه في الغرفه سرير. للأسف لم يتم معالجة هذه المشكله. المصاعد بنسبه للفندق قليل جدا
1,فاروق قصة اخرى لدي
1,موقع ممتاز . مواقف السيارات من ثلاث طوابق ممتازة لمثل موقع الفندق ، ومطبخ متكامل. عمال النظافة يحتاجون إشراف أفضل
0,قصة لطيفة .. بس ... عادية و مفيهاش حاجة مميزة و من القصص اللي بعض احدائها يتقال عليها المخرج عايز كده عادية جدا
0,بعيد عن الحرم ولايوجد خدمه صيانه ولا خدمات للسكان . لم يعجبني شئ ابدا. الفندق بعيد عن الحرم والمواقف سيئة والاداره سيئه وجهاز انذار الحريق سبب ازعاج للضيوف تم اخراج السكان الساعه فجرا عبثا ولا يوجد حريق لسوء الصيانه خدمات معدومه ولايوجد خدمات بالقرب من الفندق لا انصح بالاقامه فيه
1,ممتاز. طبعا أنا سكنت في جناح البرجقمة في الروعة في الدور ولا أعلم بالغرف كيف شكلهابالإضافة إلى موقعه بالقرب من المتروومقابل له مول برجمانوفي الجهة الخلفية جميع الخدمات كالمطاعم والسوبر ماركت ومغسلة الملابس.
1,للأسف كل الشواهد اللي حاصلة واللي بتحصل حاليا بتقول اننا داخلين أو دخلنا على نفس السيناريو اللي حصل في الرواية .. فقط أتمنى اننا ما نوصلش لنفس النهاية ولو اني متوقعها : . رواية جيدة وخيال أحمد خالد توفيق كان موفق فيها. وربنا يستر بقى :
1,كتاب هام في مسيرة الفكر الإسلامي المعاصر، ومازال له بريقه، ويستحق القراءة
0,في الحزن البعيد الهادي أثبت إنه يبدع في كلامه عن البنت والفراق والكآبة وضعيف في الكلام عن الوطن والسياسة والشارع والناس ... محمد ابراهيم بيتكلم عن البنات والفراق كأنه اتفارق بجميع الطرق ويقدر يقنعك ويأثر فيك ... سلبية محمد ابراهيم انه مقدمش جديد بالديوان فقصائده شبيهة لأعمال محمد ابراهيم السابقة لم يقدم اي جديد الا عن السياسة والناس ولكنه جاء بمستوي ضعيف ... بشكل عام الديوان جيد .. والكاتب عايز تطوير في الأسلوب اكتر عشان ميتحفظش ويعمل ملل .
0,ضعيف. الموقع. عدم المصداقيه من الاستقبالعدم نضافة المفارشالافياش مكسرهلايوجدمكان لطبخالغرف ضيقهالسعر مبالغ فيه سعر اسره والفندق الي جنبه ريال ينقص الفطور فقط وفيه مطبخ
1,ممتاز. الاطلاله على النافوره وبرج خليفه رائعه جدافي واحد مصري في الاستقبال اسمه امجد قمه في التعامل ولاخلاق.
1,أبهرني أسلوب محمد كامل حسين.. استحق خمس نجوم بكل امتياز
0,مقبول. مدير الفندق راقي في تعامله حصل موقف خلال لقله خبره موظفي الاستقبال خلال نهابه الأسبوع و هو غير متواجد،بعد رجوعه للعمل قدم اعتذاره و شرح الظروف التي أدت الي تأخير .المدير المناوب المهندس الطاف بعد حظوره تم إنهاء الاجرأت بسرعه و رافقنا الي الغرف ..
0,قرأته عام في طبعة صادرة عن وزارة الثقافة العراقية. إهتزي أشيلوس إهتزي كانت إفتتاحية الرواية هذه الجملة التي يخاطب فيها الشرقأوسطي السفينة التي تقله للحرية.
0,حسن. الموقع. قربه من مجمع صحارى مول.توفرخدمة سيارات الاجره باستمرار. عدم الالتزام بالحجوزات ارتفاع الأسعار وتبدلها بشكل غير منطقى خاصه في العطل الأسبوعية تم الغاء حجزى عن طريق البوكنق رغم اتصالى عليهم وتاكيد الحضورمماكبدنى مبالغ اكثرتم رفع الأسعار اثناء اقامتى ثلاث مرات لايوجد مصداقية
0,للأسف مملة جدا و فيها وصف كتير أوى لدرجة الملل .. إنما فكرة السيكودراما حلوة و مشوقة لو بس كنا شلنا منها كمية الوصف الزيادة
0,فندق عائلي جيد . اللوبي ممتاز وكبير ومميز وفيه محلات كثيرة وكوفي شوب ومطعم ومعسل شيشية اكثر من اثنين ومساج وسوبرماركت وصيدلية ومحلات هدايا ومغسلة ملابس ومحل انترنت .. والكثير من الخدمات الاخرى موقع الفندق ممتاز ، قريب من مطاعم حلوة ومن البحر مرسى ومن الطرق ا. الفندق اثاثه قديم ، ويحتاج تجديد باسرع وقت ، لذلك المقابل اللي تدفعه ما تحصل شيء كثير ولكن بعض مميزاته اللي فوق تغطي عيوبه الاستقبال ضعيف ودائما نفسيتهم زبالة ، فقط لغة المال تحركهم لك وهالشيء مزعج جدا ومتكرر كل مره اسكن فيه اللوبي ممتاز ولكن عي
0,انا ده اول كتاب اقراء لعمرو سلامة و على عكس معظم الناس مش قراءت شب كشك هو عموما الكتاب يعتبر جيد فيه بعض الرسائل ملهاش لزمة فى الحياة اصلا او ممكن اكون انا اللى مش فاهمها و فى حاجات كويسة جدا لدرجة انى كنت عايزها تكمل بس اى كتاب قصص قصيرة هى ده بتبقى مشكلتى معاها انى مش كل القصص بتبقى فى نفس المستوى و ده بيعملى نوع من الاحباط بس عموما الكتاب جيدا و يستحق القراء
0,لن اكرر نزولي في فندق بول مان زمزم مكه . . الغرف ليسة نظيفه و الاثاث قديم و الصاله مطله على الحمامات و المطبخ و ليست مطله على الحرم
0,خسارة الفندق بموظفين سيئين . . /عدم تنظيف الغرف وتبديل المستلزمات يوميا / موظفي الإستقبال يحتاجون الي تثقيف في المقابلة والأدب حيث ن هناك موظف استقبال سمين ليلة الاربعاء يعتر اقلهم ادبا واذا كان الفندق بهؤلاء الموظفين فأولا يسيؤون ليلدنا وثانيا للفندق واعتقد ان الفندق لايوجد فيه مديد لم اري مسؤولا خلال فترة اقامتي لمدة ثلاث ليال
1,أحد أهم أسباب التمتع في السفر مكان الإقامة أحد أهم أسباب التمتع في السفر مكان الإقامة ،فقد أقمت في الفندق ليلة مع العائلة بجناح وغرفتين تنفيذية ستة أشخاص ، الفندق جديد ونظيف وهادئ ومطل على البسفور، والأفطار بالتراس الصباح من أمتع الأوقات ويمكنك مشاهدتة أسطنبول من الدور .
0,أول رواية أقرأها واخلصها والسبب هو انه كان بعدها عندي اختبار تهرب ،، لم تشدني للأسف ولم احبها
0,،ثم فرق بين من يكتب التاريخ ومن يتذوقه ، الكاتب هنا تذوق التراث فعبر فعبرنا معه بين أحشاء التاريخ تحوطنا هيبة الملوك ، ونوادر الصعالكة، ومهالك العشاق
1,من أجمل ما قرأت ... واقعيه بنسبه كبيرة جدا .. غيرت عندى مفاهيم و أكدت عندى مفاهيم اخرى. غيرت عندى مفهوم الكرامه و عزة النفس و الحب. أحيت عندى اننا بالاسلام نعيش و نتعايش
0,مش مستوي الخدمه نجوم . ما شى.
0,رحلة دبي . الموقع وخدمة الانترنت. متوسط النظافة وعدم توفر سرير لرضيع عمر أشهر
0,. أعجبني حسن الضيافة والنظافة. الذي لم يعجبني انه قمت بتمديد ليلتين وكنت أقمت اولا الحجز كان بدون إفطار الصباح وهذا لم أشاهده في فنادق الخمس نجوم قمت بتمديد ليلتين وكنت أقمت عندهم ليلة من قبل في ليلة التمديد دخلت متأخر ولم احاسبهم وباليل انقطع النت وكلمتهم الساعة واحدة باليل قال انزل تدفع الحين وأصرت معه الا انزل وظل النت مقطوع الى حين التسديد في اليوم التالي مع أني أقمت عندهم نصف شهر ؟؟
1,كتاب يقول لك عيش الحياة كما هي . ماهي الامجرد حياة . جميل جدآ . يستحق بأن يقرأ كل شهر مرة من أفضل الكتب العربية التي قرأتها
0,اسعار غاليه وبدون خدمات . . لايوجد مواقف للسيارات وخدمة سيئه وفرش قديم
0,الفكرة مصاغة بأسلوب جيد، لكن ممل، كان من الممكن أن تكتب كل الأفكار الواردة في الكتاب في صفحة فقط، ولكن مع الاستطراد والمط الذي لا فائدة منه صارت عدد صفحاته ، وكان من الأفضل أن يكتبه فى مقال على الإنترنت أو يكون ضمن كتاب أكبر متعددة مواضيعه.
0,موجعة اخرجت كل الوجع الكامن بداخلي
1,انهيتها في ثلاثة ايام وتغيبت عن الاكاديمية. رواية لا مثيل لها. اسلوب رااائع
0,تفاصيلها كتير ومكتوبه بطريقه سهله هتبقي حلوه جدااا للاولاد في سن مراهقه بس انا مطلعتش منها بحاجه كانه فيلم عربي قديم عن الادمان
0,كتاب رائع قد يضيف إلى دائرة معارفك الكثير من المعلومات لكن شأنه شأن الكثير من الكتب في هذا المجال ستجد فيه الإسهاب الممل والتكرار المخل أعتقد بأنه كان بإمكان الكاتب أن يوصل نفس القدر من المعلومات ضمن صفحة ... لكن من الناحية الأخرى كتاب جيد جدا يستحق ثلاث نجوم ونصف ... الكتاب خلاصة جهد حثيث يعني هو نتاج متعوب عليه ..
1,رواية رائعة ومشوقة لمصطفى محمود انصحكم بقرائتها، رابط تحميل الكتاب. :// . / / ...
0,مرضي. حسن الاستقبال وتوفر الخدمات داخل او بالقرب من النزل الجلسات في الاستقبال رائعة. اوقفت سيارتي بالبدروم وعندما خرجت وجدت اثار ماء وملح نازلة من مواسير المجاري على السيارة وللاسف بعد الغسيل تبين انها اسيد او فلاش اتلفت البويةكانت رائحة الدخان خانقة من الشقق المجاورةلكن تم التجاوب مع الشكوى وانقطعت رائحة الدخان
1,ممتاز . كل شيء ممتاز. السعر غالي حبتين
1,ايبس جيد ومكان جميل . حسن الاستقبال والنظافة في الطابق السابع جيد وتنظيف الغرف يوميا وعاملة النظافة اكثر من مؤدبه وهادئة. خدمة الواي فاي
0,يجب الاهتمام اكثر . ولا شي. عدم وجود راح في الشقق وعدم الاستجابة السريعه عند الخدمه
